bedrooms,bathrooms,car spaces,land size,price,date of sale
4,3,4,499,300000,2014-01-14
1,1,1,61,269000,2014-01-16
4,3,2,898,430000,2014-01-27
6,3,1,425,590000,2014-02-05
3,1,1,143,329000,2014-02-14
2,1,2,381,375000,2014-03-18
3,1,1,432,275000,2014-03-19
2,1,1,139,250000,2014-03-25
1,1,1,63,180000,2014-04-14
6,6,4,1175,775000,2014-04-15
3,1,0,549,300000,2014-04-17
3,1,1,402,325000,2014-05-16
3,2,2,6458,475000,2014-05-23
2,1,1,128,330000,2014-05-30
6,2,1,433,570000,2014-05-31
3,3,0,524,990000,2014-07-01
2,1,0,288,235000,2014-07-02
4,3,0,737,1200000,2014-07-03
3,1,0,515,225000,2014-07-06
3,1,1,118,280000,2014-07-11
6,2,4,806,465000,2014-07-25
2,2,0,85,236000,2014-08-09
3,2,1,568,390000,2014-08-25
2,1,1,147,330000,2014-09-01
4,2,0,297,396000,2014-09-16
3,1,1,267,180000,2014-10-03
3,2,1,467,460000,2014-10-04
3,1,3,438,357500,2014-10-07
4,2,1,306,434000,2014-10-28
2,1,1,457,315000,2014-10-30
3,2,1,558,305000,2014-11-13
3,2,2,148,242000,2014-11-20
3,2,1,529,340000,2014-12-05
3,1,1,963,420000,2014-12-16
5,3,2,1086,820000,2015-01-22
3,2,0,522,280000,2015-01-30
4,2,2,821,390000,2015-02-14
2,1,1,716,337500,2015-02-19
4,2,1,285,375000,2015-02-20
3,1,1,274,290000,2015-02-27
3,2,2,248,320000,2015-03-07
3,2,1,781,420000,2015-03-15
3,1,2,1345,305000,2015-04-13
2,2,0,258,435000,2015-04-23
3,2,2,300,270000,2015-04-24
2,1,1,168,305000,2015-05-08
3,2,1,503,650000,2015-05-16
4,2,3,493,617500,2015-05-19
3,2,1,253,230000,2015-05-31
3,2,0,343,401000,2015-06-09
3,2,0,492,360000,2015-06-15
2,1,0,92,225000,2015-06-19
5,2,2,673,415000,2015-07-09
2,1,0,186,300000,2015-07-13
4,2,2,629,367500,2015-07-14
2,2,0,178,429000,2015-08-05
5,3,2,662,676000,2015-08-07
4,2,4,580,660000,2015-08-20
2,1,0,337,287000,2015-09-22
3,1,1,352,310000,2015-09-28
3,2,2,247,515000,2015-10-20
4,1,1,942,484500,2015-11-14
4,3,0,574,370000,2015-11-26
3,1,1,366,292000,2015-11-27
2,1,1,204,232500,2015-11-28
2,1,2,379,300000,2015-11-29
3,1,2,313,356000,2015-12-08
4,2,1,475,600000,2015-12-09
2,1,0,771,470000,2015-12-10
4,3,2,887,715000,2015-12-19
4,2,2,1061,775000,2016-01-18
3,1,1,528,350000,2016-01-29
4,1,1,422,317000,2016-02-05
2,1,1,118,295000,2016-02-08
3,2,0,367,290000,2016-02-11
3,2,2,1367,470000,2016-02-21
2,1,1,172,330000,2016-02-22
3,2,0,174,310000,2016-02-23
3,1,1,505,305000,2016-02-24
2,1,1,191,375000,2016-03-05
3,1,0,199,290000,2016-03-10
4,2,1,385,325000,2016-03-16
4,2,1,230,505000,2016-03-17
2,1,1,77,259000,2016-03-30
3,1,0,9483,438000,2016-03-31
3,2,2,627,407000,2016-04-01
3,1,1,230,290000,2016-04-08
3,1,2,618,407000,2016-04-13
2,1,1,143,267000,2016-04-18
4,2,1,469,557500,2016-04-19
4,2,0,955,455000,2016-05-05
4,3,4,1290,940000,2016-05-31
3,1,0,195,324500,2016-06-08
2,1,2,90,292500,2016-06-10
3,2,2,312,555666,2016-06-22
4,2,0,603,576000,2016-06-29
4,2,1,808,700000,2016-07-04
4,4,0,211,560000,2016-07-07
3,2,1,300,385000,2016-07-12
3,1,0,712,175000,2016-08-01
3,2,0,447,364000,2016-08-02
3,2,2,204,550000,2016-08-11
3,1,0,601,325500,2016-09-07
3,2,1,192,245000,2016-09-15
3,1,1,233,400000,2016-09-17
4,1,1,500,395000,2016-10-28
3,1,1,92,240000,2016-11-15
4,1,0,316,510000,2016-11-18
3,2,2,455,320000,2016-11-23
3,2,2,488,645000,2016-11-24
3,1,0,438,500000,2016-12-02
4,3,2,492,1400000,2016-12-06
4,2,2,450,230000,2016-12-07
2,1,1,151,289000,2016-12-15
4,1,3,384,271000,2016-12-16
5,3,1,638,425000,2016-12-17
3,2,1,490,675000,2016-12-20
4,3,0,625,695000,2017-01-09
2,1,0,210,402500,2017-01-14
2,1,1,142,313000,2017-01-18
4,3,1,273,450000,2017-02-08
4,2,1,587,740000,2017-02-09
2,2,2,372,265000,2017-02-15
2,1,0,271,300000,2017-02-23
3,1,1,702,645000,2017-02-24
3,1,2,313,416000,2017-03-06
3,2,1,194,462000,2017-03-07
3,2,2,844,725000,2017-03-09
3,1,1,257,350000,2017-03-12
2,1,1,96,250000,2017-04-01
3,2,2,13000,1400000,2017-04-05
5,2,2,1056,975000,2017-04-07
4,1,2,1210,503000,2017-04-08
2,1,1,1429,326000,2017-04-10
4,2,1,449,350000,2017-05-18
3,2,0,405,540000,2017-05-23
2,1,3,275,311000,2017-05-31
3,1,1,412,304500,2017-06-05
4,2,4,481,400000,2017-06-27
1,1,1,120,299000,2017-07-07
3,2,1,576,545000,2017-07-17
4,2,2,469,645000,2017-07-27
4,1,2,570,466000,2017-07-31
2,2,1,3650,345000,2017-08-03
3,2,2,622,557500,2017-08-04
4,2,2,297,800000,2017-08-05
3,1,0,268,309000,2017-08-20
4,2,2,315,500000,2017-08-21
3,1,2,151,295000,2017-08-24
4,1,1,193,390000,2017-08-28
2,1,2,379,375500,2017-09-22
3,2,3,592,420000,2017-10-06
3,1,2,347,390000,2017-10-23
