bedrooms,bathrooms,car spaces,land size,price,date of sale,tavg,tmin,tmax,avg_tavg_7_days,avg_tmin_7_days,avg_tmax_7_days,avg_tavg_30_days,avg_tmin_30_days,avg_tmax_30_days
2,1,1,96,250000,2017-04-01,9.6,9.0,18.4,14.1,11.4,21.6,16.5,13.2,24.7
2,1,0,440,251000,2006-10-11,15.6,6.9,21.2,10.1,4.9,16.9,9.7,5.1,16.8
2,1,0,350,253000,2012-06-12,8.2,2.5,15.4,6.2,0.4,13.8,8.2,3.6,14.8
3,1,1,343,255000,2011-05-19,11.7,7.3,16.7,8.2,1.9,14.9,9.0,4.8,16.3
3,1,0,175,255999,2012-12-21,13.8,6.5,21.0,14.6,12.2,21.5,15.1,10.7,22.9
3,1,0,290,259000,2006-09-28,10.0,1.7,14.1,8.4,5.9,15.1,9.1,5.6,15.8
3,1,0,387,259000,2007-01-10,17.2,10.9,22.9,17.6,13.4,25.7,15.6,11.3,23.2
2,1,1,77,259000,2016-03-30,12.3,10.7,21.0,12.9,7.5,21.3,15.7,12.0,23.3
3,1,0,263,260000,2007-03-10,17.6,12.0,24.4,15.1,11.0,23.4,18.9,14.8,26.5
2,1,0,219,260000,2009-07-18,7.9,0.1,12.0,5.9,2.7,12.6,6.8,3.0,13.0
2,1,2,519,262500,2011-08-12,6.6,4.2,14.1,8.8,7.4,13.7,7.4,3.7,13.3
2,2,2,372,265000,2017-02-15,14.9,6.8,21.2,15.2,12.4,22.1,15.8,11.8,23.1
2,1,1,143,267000,2016-04-18,14.8,5.2,19.4,12.2,8.3,20.0,12.9,8.5,20.5
3,1,0,542,267500,2010-08-03,8.3,0.0,14.2,8.6,5.5,14.5,7.0,2.8,13.5
3,1,3,485,269000,2006-08-31,11.7,8.7,16.5,8.3,3.3,14.1,7.7,3.3,14.1
1,1,1,61,269000,2014-01-16,21.9,18.0,31.9,20.2,12.7,29.1,16.2,11.5,24.2
3,2,1,169,270000,2013-09-07,6.4,10.3,16.4,11.9,7.1,18.9,9.3,5.5,15.4
3,2,2,300,270000,2015-04-24,11.7,12.0,14.9,10.5,4.9,18.8,11.4,6.8,19.0
3,1,1,531,270250,2013-04-04,12.3,4.0,21.0,12.1,8.4,20.0,16.2,11.3,24.6
4,1,3,384,271000,2016-12-16,16.4,7.6,21.1,13.7,9.2,21.0,14.1,10.3,21.2
2,2,0,196,275000,2008-05-02,7.1,9.2,15.2,9.3,5.8,15.8,11.9,8.5,18.8
3,1,2,447,275000,2010-03-11,14.4,7.6,22.4,18.0,14.9,25.7,17.4,13.8,25.8
3,1,0,317,275000,2011-05-24,5.2,7.7,12.2,11.4,7.1,17.4,9.0,4.6,16.3
2,1,1,248,275000,2012-05-01,14.4,3.8,20.3,9.7,4.9,16.9,12.5,8.2,19.6
3,1,1,432,275000,2014-03-19,14.1,9.3,22.0,15.0,11.4,22.2,16.6,11.9,24.6
3,1,1,297,279600,2013-02-15,19.1,12.9,28.4,17.6,14.5,25.6,17.1,12.8,25.2
3,1,0,356,280000,2010-07-20,4.8,1.2,13.8,6.7,2.6,12.7,6.2,2.4,12.8
3,1,1,118,280000,2014-07-11,8.3,-0.2,14.2,8.0,5.0,13.8,7.7,3.3,13.5
3,2,0,522,280000,2015-01-30,14.2,12.8,19.7,14.5,11.7,22.7,16.9,12.7,24.6
4,2,3,4047,282500,2006-05-12,8.6,0.6,16.0,7.5,2.0,14.4,9.0,4.9,15.5
2,1,2,401,283000,2006-05-02,9.8,8.5,15.6,9.7,6.1,15.9,9.7,5.3,16.5
3,1,1,368,284000,2007-03-31,14.0,6.9,23.7,12.4,8.2,19.8,15.3,10.8,23.4
3,1,1,655,285000,2011-07-01,5.4,2.8,12.7,8.3,4.4,14.8,7.1,3.1,13.2
1,1,1,532,285000,2011-12-09,19.7,12.1,27.6,13.1,8.4,20.7,13.4,9.6,20.6
2,2,0,215,285000,2012-08-31,6.6,-0.5,14.4,7.6,6.1,13.4,7.3,3.5,13.8
3,1,1,1445,285000,2013-02-14,18.3,14.9,28.6,17.8,14.2,25.3,17.0,12.7,25.0
2,1,0,337,287000,2015-09-22,4.6,2.3,14.1,9.1,5.9,17.2,8.4,4.3,16.1
2,1,1,151,289000,2016-12-15,12.8,5.4,21.6,13.6,10.1,20.4,14.1,10.4,21.2
3,1,0,166,290000,2009-11-30,10.8,10.4,17.0,14.4,12.1,20.2,15.1,11.4,22.6
2,2,4,576,290000,2011-06-15,4.4,-1.3,8.2,4.4,2.0,11.8,7.1,3.2,14.3
3,1,6,337,290000,2011-11-23,12.4,4.8,21.4,12.5,8.7,18.8,12.6,8.9,19.5
3,1,1,274,290000,2015-02-27,14.0,14.4,22.5,18.8,16.0,26.8,17.5,14.1,25.4
3,2,0,367,290000,2016-02-11,18.4,14.3,25.7,20.0,16.3,27.1,18.9,15.1,26.5
3,1,0,199,290000,2016-03-10,16.3,15.1,21.7,18.4,14.5,26.1,17.4,13.5,24.8
3,1,1,230,290000,2016-04-08,14.0,8.8,20.0,12.5,8.6,19.5,14.1,10.3,21.6
3,1,1,350,291000,2010-10-05,10.5,10.2,19.1,9.1,3.4,16.8,8.9,5.2,15.8
3,1,1,371,292000,2007-12-13,15.9,11.4,24.2,14.0,10.2,21.2,16.0,11.8,23.3
2,1,0,214,292000,2012-06-19,4.2,2.0,12.1,8.8,4.9,14.6,8.2,3.9,14.5
3,1,1,366,292000,2015-11-27,11.4,5.6,19.0,13.3,10.9,20.7,13.8,10.3,21.4
2,1,2,90,292500,2016-06-10,7.7,6.4,13.7,11.1,7.8,16.0,9.0,5.5,15.3
